"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Spending","0","0","Spending form without amount","0"
"3","","0","Spending","0","0","Spending negative","0"
"0","","0","Currencies","5","0","Calculate rate","0"
"4","","0","Spending","0","0","Spending category","0"
"2","","0","Spending","0","0","Search spending","0"
"1","","0","Spending","0","0","Edit spending","0"
"1","","0","Spending","0","0","Duplicate spending","0"
"1","[KAFKA][niffler-auth]: Паблишинг сообщений в кафку","0","","3","0","","0"
"3","","0","Spending","0","0","Add spending UI","0"
"1","","0","Spending","0","0","Reload spending","0"
"1","","0","Authentication","0","0","Registration Flow","0"
"1","","0","Spending","0","0","Legend","0"
"0","","0","Currencies","1","0","Get all currencies","0"
"3","","0","Spending","0","0","Spending CRUD","0"
"1","","0","Authentication","0","0","Successful Login","0"
"2","","0","Spending","0","0","Delete spending UI","0"
"1","","0","Spending","0","0","Spending appears in history","0"
"1","","0","Categories","0","0","Edit category","0"
"1","","0","Spending","0","0","Cancel spending form","0"
"1","","0","Authentication","0","0","Wrong Password Login","0"
"1","","0","Spending","0","0","Statistics","0"
"1","","0","Spending","0","0","Spending amount","0"
"1","","0","Spending","0","0","Filter spending","0"
"1","","0","Categories","0","0","Archive category","0"
"1","","0","Categories","0","0","Add category","0"
"1","","0","Spending","0","0","Spending filters","0"
