"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_spending_form_without_amount[chromium]","tests","Wed Oct 29 17:42:00 UTC 2025","broken","Wed Oct 29 17:42:00 UTC 2025","","test_spending","",""
"Проверка ошибки при добавлении траты с невалидной валютой.","0","test_add_spending_invalid_currency_api","tests","Wed Oct 29 17:41:59 UTC 2025","broken","Wed Oct 29 17:41:59 UTC 2025","","test_api","",""
"Проверка пересчёта валют для разных направлений конверсии.","16","Currency Conversion[100.0-2-2-100.0]","grpc_tests.tests","Wed Oct 29 17:41:54 UTC 2025","passed","Wed Oct 29 17:41:54 UTC 2025","TestCurrencyRate","test_calculate_rate","",""
"Проверка успешного создания новой категории.","0","test_add_category_api","tests","Wed Oct 29 17:41:53 UTC 2025","broken","Wed Oct 29 17:41:53 UTC 2025","","test_api","",""
"","0","test_spending_search_no_results[chromium]","tests","Wed Oct 29 17:42:06 UTC 2025","broken","Wed Oct 29 17:42:06 UTC 2025","","test_spending","",""
"Проверка пересчёта валют для разных направлений конверсии.","22","Currency Conversion[100.0-1-2-1.5]","grpc_tests.tests","Wed Oct 29 17:41:54 UTC 2025","passed","Wed Oct 29 17:41:54 UTC 2025","TestCurrencyRate","test_calculate_rate","",""
"Проверка поведения при отсутствии целевой валюты (должен быть gRPC-ошибкой).","66","Calculate Rate Without Desired Currency","grpc_tests.tests","Wed Oct 29 17:41:54 UTC 2025","passed","Wed Oct 29 17:41:54 UTC 2025","TestCurrencyRate","test_calculate_rate","",""
"","0","test_edit_spending_description[chromium]","tests","Wed Oct 29 17:42:03 UTC 2025","broken","Wed Oct 29 17:42:03 UTC 2025","","test_spending","",""
"","0","test_spending_duplicate[chromium]","tests","Wed Oct 29 17:42:05 UTC 2025","broken","Wed Oct 29 17:42:05 UTC 2025","","test_spending","",""
"","239","Userdata Handles Multiple Messages","tests","Wed Oct 29 17:42:06 UTC 2025","passed","Wed Oct 29 17:42:06 UTC 2025","TestAuthRegistrationKafkaTest","[KAFKA][niffler-auth]: Паблишинг сообщений в кафку","",""
"","1221","Userdata Is Idempotent On Duplicate Events","tests","Wed Oct 29 17:42:05 UTC 2025","passed","Wed Oct 29 17:42:06 UTC 2025","TestAuthRegistrationKafkaTest","[KAFKA][niffler-auth]: Паблишинг сообщений в кафку","",""
"Проверка пересчёта валют для разных направлений конверсии.","18","Currency Conversion[100.0-2-1-6666.67]","grpc_tests.tests","Wed Oct 29 17:41:54 UTC 2025","passed","Wed Oct 29 17:41:54 UTC 2025","TestCurrencyRate","test_calculate_rate","",""
"","0","test_add_spending_ui[chromium-Groceries-222-EUR]","tests","Wed Oct 29 17:41:58 UTC 2025","broken","Wed Oct 29 17:41:58 UTC 2025","","test_spending","",""
"","0","test_reload_persists_spendings[chromium]","tests","Wed Oct 29 17:42:07 UTC 2025","broken","Wed Oct 29 17:42:07 UTC 2025","","test_spending","",""
"","0","test_registration_flow[chromium]","tests","Wed Oct 29 17:42:01 UTC 2025","broken","Wed Oct 29 17:42:01 UTC 2025","","test_register","",""
"","9475","Niffler Userdata Should Consume Message From Kafka","tests","Wed Oct 29 17:41:55 UTC 2025","passed","Wed Oct 29 17:42:05 UTC 2025","TestAuthRegistrationKafkaTest","[KAFKA][niffler-auth]: Паблишинг сообщений в кафку","",""
"","0","test_legend_visible_with_spending[chromium]","tests","Wed Oct 29 17:42:07 UTC 2025","broken","Wed Oct 29 17:42:07 UTC 2025","","test_spending","",""
"Проверка добавления дублирующейся категории (ожидается ошибка 4xx).","0","test_add_duplicate_category_api","tests","Wed Oct 29 17:42:00 UTC 2025","broken","Wed Oct 29 17:42:00 UTC 2025","","test_api","",""
"","51","Get All Currencies","grpc_tests.tests","Wed Oct 29 17:42:00 UTC 2025","passed","Wed Oct 29 17:42:00 UTC 2025","","test_get_all_currencies","",""
"","0","test_add_spending_ui[chromium-Taxi-150-USD]","tests","Wed Oct 29 17:41:56 UTC 2025","broken","Wed Oct 29 17:41:56 UTC 2025","","test_spending","",""
"Проверка получения всех трат, включая добавленную.","0","test_get_all_spends_api","tests","Wed Oct 29 17:41:57 UTC 2025","broken","Wed Oct 29 17:41:57 UTC 2025","","test_api","",""
"","0","test_add_spending_ui[chromium-Buy milk-300-RUB]","tests","Wed Oct 29 17:41:53 UTC 2025","broken","Wed Oct 29 17:41:53 UTC 2025","","test_spending","",""
"","0","test_success_login[chromium]","tests","Wed Oct 29 17:41:59 UTC 2025","broken","Wed Oct 29 17:41:59 UTC 2025","","test_login","",""
"","1","test_delete_spending_ui[chromium]","tests","Wed Oct 29 17:42:02 UTC 2025","broken","Wed Oct 29 17:42:02 UTC 2025","","test_spending","",""
"Проверка удаления несуществующей траты (ожидается ошибка или 4xx).","0","test_delete_spending_invalid_id_api","tests","Wed Oct 29 17:41:59 UTC 2025","broken","Wed Oct 29 17:41:59 UTC 2025","","test_api","",""
"Проверка корректного расчёта курса при заданных валютах EUR→RUB.","244","Calculate Rate","grpc_tests.tests","Wed Oct 29 17:41:53 UTC 2025","passed","Wed Oct 29 17:41:54 UTC 2025","TestCurrencyRate","test_calculate_rate","",""
"","0","test_spending_appears_in_history[chromium]","tests","Wed Oct 29 17:42:02 UTC 2025","broken","Wed Oct 29 17:42:02 UTC 2025","","test_spending","",""
"Проверка обновления имени категории.","0","test_update_category_api","tests","Wed Oct 29 17:41:56 UTC 2025","broken","Wed Oct 29 17:41:56 UTC 2025","","test_api","",""
"","0","test_edit_category_db[chromium]","tests","Wed Oct 29 17:41:57 UTC 2025","broken","Wed Oct 29 17:41:57 UTC 2025","","test_categories","",""
"","385","Message Should Be Produced To Kafka After Successful Registration","tests","Wed Oct 29 17:41:53 UTC 2025","broken","Wed Oct 29 17:41:54 UTC 2025","TestAuthRegistrationKafkaTest","[KAFKA][niffler-auth]: Паблишинг сообщений в кафку","",""
"","0","test_search_spending_by_description[chromium]","tests","Wed Oct 29 17:42:03 UTC 2025","broken","Wed Oct 29 17:42:03 UTC 2025","","test_spending","",""
"","0","test_delete_multiple_spendings[chromium]","tests","Wed Oct 29 17:42:06 UTC 2025","broken","Wed Oct 29 17:42:06 UTC 2025","","test_spending","",""
"","0","test_cancel_spending_form[chromium]","tests","Wed Oct 29 17:41:59 UTC 2025","broken","Wed Oct 29 17:41:59 UTC 2025","","test_spending","",""
"","0","test_wrong_password_login[chromium]","tests","Wed Oct 29 17:42:00 UTC 2025","broken","Wed Oct 29 17:42:00 UTC 2025","","test_login","",""
"Проверка получения всех категорий, включая только что добавленную.","0","test_get_all_categories_api","tests","Wed Oct 29 17:41:55 UTC 2025","broken","Wed Oct 29 17:41:55 UTC 2025","","test_api","",""
"Проверка удаления траты.","0","test_delete_spending_api","tests","Wed Oct 29 17:41:58 UTC 2025","broken","Wed Oct 29 17:41:58 UTC 2025","","test_api","",""
"","0","test_statistics_visible[chromium]","tests","Wed Oct 29 17:42:01 UTC 2025","broken","Wed Oct 29 17:42:01 UTC 2025","","test_spending","",""
"","0","test_spending_negative_amount[chromium]","tests","Wed Oct 29 17:42:04 UTC 2025","broken","Wed Oct 29 17:42:04 UTC 2025","","test_spending","",""
"","0","test_spending_empty_category[chromium]","tests","Wed Oct 29 17:42:05 UTC 2025","broken","Wed Oct 29 17:42:05 UTC 2025","","test_spending","",""
"Проверка добавления траты.","0","test_add_spending_api","tests","Wed Oct 29 17:41:57 UTC 2025","broken","Wed Oct 29 17:41:57 UTC 2025","","test_api","",""
"","0","test_filter_spending_by_category[chromium]","tests","Wed Oct 29 17:42:04 UTC 2025","broken","Wed Oct 29 17:42:04 UTC 2025","","test_spending","",""
"","0","test_archive_category_db[chromium]","tests","Wed Oct 29 17:41:58 UTC 2025","broken","Wed Oct 29 17:41:58 UTC 2025","","test_categories","",""
"","0","test_add_category[chromium]","tests","Wed Oct 29 17:41:54 UTC 2025","broken","Wed Oct 29 17:41:54 UTC 2025","","test_categories","",""
"Проверка фильтра по валюте.","0","test_filter_spending_by_currency_api","tests","Wed Oct 29 17:41:58 UTC 2025","broken","Wed Oct 29 17:41:58 UTC 2025","","test_api","",""
